"Sample","ST","adhP","pheS","atr","glnA","sdhA","glcK","tkt","mismatches","uncertainty","depth","maxMAF"
"S100_trimmed","10","9",1,"4",1,3,"3",2,"0","-",184.42,0.0428571428571
"S10_trimmed","23","5",4,"6",3,2,"1",3,"0","-",286.523714286,0.0283400809717
"S11_trimmed","88*","5",10,"6",3,2,"1*",3,"glcK_1/1snp","-",245.707857143,0.0281690140845
"S12_trimmed","23","5",4,"6",3,2,"1",3,"0","-",268.866571429,0.025641025641
"S13_trimmed","1470","2",1,"188",2,1,"1",1,"0","-",207.466,0.0352941176471
"S14_trimmed","17","2",1,"1",2,1,"1",1,"0","-",198.385857143,0.0285714285714
"S15_trimmed","1","1",1,"2",1,1,"2",2,"0","-",231.931428571,0.0321100917431
"S16_trimmed","23","5",4,"6",3,2,"1",3,"0","-",233.854,0.0381679389313
"S17_trimmed","19","1",1,"3",2,2,"2",2,"0","-",287.376142857,0.0676691729323
"S18_trimmed","1","1",1,"2",1,1,"2",2,"0","-",289.720428571,0.0466321243523
"S19_trimmed","17","2",1,"1",2,1,"1",1,"0","-",298.090857143,0.0220820189274
"S1_trimmed","23","5",4,"6",3,2,"1",3,"0","-",18.6301428571,0.25
"S20_trimmed","23","5",4,"6",3,2,"1",3,"0","-",284.151142857,0.048
"S21_trimmed","23","5",4,"6",3,2,"1",3,"0","-",251.719571429,0.0322580645161
"S22_trimmed","17","2",1,"1",2,1,"1",1,"0","-",293.446428571,0.135338345865
"S23_trimmed","17","2",1,"1",2,1,"1",1,"0","-",197.738,0.032967032967
"S24_trimmed","17","2",1,"1",2,1,"1",1,"0","-",210.326428571,0.0230769230769
"S25_trimmed","19","1",1,"3",2,2,"2",2,"0","-",143.405285714,0.0434782608696
"S26_trimmed","1470","2",1,"188",2,1,"1",1,"0","-",212.428857143,0.0260869565217
"S27_trimmed","1470","2",1,"188",2,1,"1",1,"0","-",206.404428571,0.0341463414634
"S28_trimmed","10","9",1,"4",1,3,"3",2,"0","-",221.547428571,0.0430107526882
"S29_trimmed","23","5",4,"6",3,2,"1",3,"0","-",248.909857143,0.020618556701
"S2_trimmed","17","2",1,"1",2,1,"1",1,"0","-",243.205571429,0.0562770562771
"S30_trimmed","23","5",4,"6",3,2,"1",3,"0","-",261.804428571,0.0364372469636
"S31_trimmed","17","2",1,"1",2,1,"1",1,"0","-",245.414142857,0.0181818181818
"S32_trimmed","17","2",1,"1",2,1,"1",1,"0","-",131.594714286,0.0491803278689
"S33_trimmed","17","2",1,"1",2,1,"1",1,"0","-",258.319857143,0.0247933884298
"S34_trimmed","17","2",1,"1",2,1,"1",1,"0","-",226.440142857,0.0243902439024
"S35_trimmed","NF*","373*",1,"3",1,41,"12",2,"adhP_373/1snp","-",165.095,0.0352112676056
"S36_trimmed","335","1",1,"43",2,2,"2",2,"0","-",197.416571429,0.04
"S37_trimmed","88","5",10,"6",3,2,"1",3,"0","-",156.120428571,0.0333333333333
"S38_trimmed","17","2",1,"1",2,1,"1",1,"0","-",150.174285714,0.0361445783133
"S39_trimmed","23","5",4,"6",3,2,"1",3,"0","-",183.92,0.0348837209302
"S3_trimmed","1","1",1,"2",1,1,"2",2,"0","-",232.449142857,0.0386266094421
"S40_trimmed","23","5",4,"6",3,2,"1",3,"0","-",191.178285714,0.0314465408805
"S41_trimmed","17","2",1,"1",2,1,"1",1,"0","-",239.327142857,0.0526315789474
"S42_trimmed","17","2",1,"1",2,1,"1",1,"0","-",240.057714286,0.025641025641
"S43_trimmed","17","2",1,"1",2,1,"1",1,"0","-",213.881,0.0375
"S44_trimmed","459","1",1,"3",1,41,"12",2,"0","-",217.544857143,0.0414201183432
"S45_trimmed","459","1",1,"3",1,41,"12",2,"0","-",208.814,0.0259067357513
"S46_trimmed","23","5",4,"6",3,2,"1",3,"0","-",238.443142857,0.027027027027
"S47_trimmed","1563*","1",1,"202*",2,2,"2",2,"atr_202/1snp","-",212.427142857,0.0294117647059
"S48_trimmed","17","2",1,"1",2,1,"1",1,"0","-",201.878428571,0.0324675324675
"S49_trimmed","17","2",1,"1",2,1,"1",1,"0","-",108.435714286,0.0588235294118
"S4_trimmed","8","4",1,"4",1,3,"3",2,"0","-",262.603571429,0.0363636363636
"S50_trimmed","17","2",1,"1",2,1,"1",1,"0","-",142.111,0.0392156862745
"S51_trimmed","23","5",4,"6",3,2,"1",3,"0","-",51.257,0.0816326530612
"S52_trimmed","17","2",1,"1",2,1,"1",1,"0","-",189.581571429,0.0566037735849
"S53_trimmed","17","2",1,"1",2,1,"1",1,"0","-",213.358,0.137795275591
"S54_trimmed","1747","5",141,"6",3,2,"1",3,"0","-",224.812428571,0.0294117647059
"S55_trimmed","8","4",1,"4",1,3,"3",2,"0","-",248.693714286,0.0274725274725
"S56_trimmed","17","2",1,"1",2,1,"1",1,"0","-",182.237428571,0.0324324324324
"S57_trimmed","17","2",1,"1",2,1,"1",1,"0","-",202.670428571,0.0297619047619
"S58_trimmed","17","2",1,"1",2,1,"1",1,"0","-",212.324142857,0.0224719101124
"S59_trimmed","17","2",1,"1",2,1,"1",1,"0","-",211.668142857,0.0340909090909
"S5_trimmed","19","1",1,"3",2,2,"2",2,"0","-",283.377571429,0.029702970297
"S60_trimmed","17","2",1,"1",2,1,"1",1,"0","-",178.105285714,0.0462427745665
"S61_trimmed","109","2",1,"1",10,1,"1",1,"0","-",116.681,0.0483870967742
"S62_trimmed","17","2",1,"1",2,1,"1",1,"0","-",119.442,0.0384615384615
"S63_trimmed","17","2",1,"1",2,1,"1",1,"0","-",100.645714286,0.0384615384615
"S64_trimmed","NF","4",1,"4",4,3,"3",2,"0","-",138.588857143,0.0490196078431
"S65_trimmed","459","1",1,"3",1,41,"12",2,"0","-",135.159285714,0.0422535211268
"S66_trimmed","17","2",1,"1",2,1,"1",1,"0","-",156.927,0.046875
"S67_trimmed","17","2",1,"1",2,1,"1",1,"0","-",192.873714286,0.0342465753425
"S68_trimmed","17","2",1,"1",2,1,"1",1,"0","-",170.474571429,0.0280373831776
"S69_trimmed","19","1",1,"3",2,2,"2",2,"0","-",156.979285714,0.0350877192982
"S6_trimmed","109","2",1,"1",10,1,"1",1,"0","-",355.126285714,0.0214285714286
"S70_trimmed","17","2",1,"1",2,1,"1",1,"0","-",153.484142857,0.0263157894737
"S71_trimmed","17","2",1,"1",2,1,"1",1,"0","-",157.271285714,0.037037037037
"S72_trimmed","8","4",1,"4",1,3,"3",2,"0","-",146.223857143,0.0452488687783
"S73_trimmed","17","2",1,"1",2,1,"1",1,"0","-",27.2994285714,0.142857142857
"S74_trimmed","459","1",1,"3",1,41,"12",2,"0","-",92.8812857143,0.0405405405405
"S75_trimmed","17","2",1,"1",2,1,"1",1,"0","-",24.132,0.157894736842
"S76_trimmed","10","9",1,"4",1,3,"3",2,"0","-",122.737285714,0.0757575757576
"S77_trimmed","23","5",4,"6",3,2,"1",3,"0","-",153.791142857,0.0344827586207
"S78_trimmed","23","5",4,"6",3,2,"1",3,"0","-",174.430714286,0.0275862068966
"S79_trimmed","17","2",1,"1",2,1,"1",1,"0","-",155.639428571,0.029702970297
"S7_trimmed","23","5",4,"6",3,2,"1",3,"0","-",309.852857143,0.0217391304348
"S80_trimmed","17","2",1,"1",2,1,"1",1,"0","-",129.918857143,0.0365853658537
"S82_trimmed","17","2",1,"1",2,1,"1",1,"0","-",141.780857143,0.0330578512397
"S83_trimmed","1","1",1,"2",1,1,"2",2,"0","-",127.883285714,0.0348837209302
"S84_trimmed","28","1",1,"3",5,2,"2",2,"0","-",137.645714286,0.0298507462687
"S85_trimmed","860","157",1,"1",2,1,"1",1,"0","-",119.429857143,0.0454545454545
"S86_trimmed","88","5",10,"6",3,2,"1",3,"0","-",134.023285714,0.0373134328358
"S87_trimmed","17","2",1,"1",2,1,"1",1,"0","-",151.431428571,0.056338028169
"S88_trimmed","19","1",1,"3",2,2,"2",2,"0","-",146.560571429,0.0372340425532
"S89_trimmed","23","5",4,"6",3,2,"1",3,"0","-",191.289,0.0298507462687
"S8_trimmed","17*","2",1,"1*",2,1,"1",1,"atr_1/1snp","-",309.949857143,0.0264317180617
"S90_trimmed","31","2",1,"1",6,1,"1",1,"0","-",96.4717142857,0.0961538461538
"S91_trimmed","31","2",1,"1",6,1,"1",1,"0","-",197.124142857,0.0457516339869
"S92_trimmed","23","5",4,"6",3,2,"1",3,"0","-",191.411857143,0.0591715976331
"S93_trimmed","23","5",4,"6",3,2,"1",3,"0","-",180.485857143,0.0394736842105
"S94_trimmed","23","5",4,"6",3,2,"1",3,"0","-",161.935571429,0.0289855072464
"S95_trimmed","28","1",1,"3",5,2,"2",2,"0","-",183.633285714,0.0290697674419
"S96_trimmed","28","1",1,"3",5,2,"2",2,"0","-",168.673,0.0472440944882
"S97_trimmed","23","5",4,"6",3,2,"1",3,"0","-",190.651142857,0.0378787878788
"S98_trimmed","8","4",1,"4",1,3,"3",2,"0","-",212.514571429,0.0380952380952
"S99_trimmed","17","2",1,"1",2,1,"1",1,"0","-",174.651142857,0.043956043956
"S9_trimmed","17","2",1,"1",2,1,"1",1,"0","-",303.276285714,0.045045045045
