	S33	S19	S50	S62	S63	S48	S9	S82	S80	S24	S87	S41	S61	S6	S90	S91	S73	S67	S59	S38	S66	S58	S57	S79	S23	S43	S56	S70	S99	S52	S2	S14	S27	S26	S13	S22	S85	S31	S34	S8	S11	S39	S30	S77	S93	S92	S20	S40	S21	S7	S97	S89	S46	S51	S54	S95	S69	S5	S47	S88	S36	S28	S76	S72	S4	S98	S64	S55	S45	S15
S33	0.01158005772362	0.011562979627350001	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.005673019625	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.001265230483	0.0
S19	0.011562979627350001	0.01158233035549	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.011473518453	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.005673019625	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.001265230483	0.0
S50	0.011473518453	0.011473518453	0.011816116911600002	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011637435500200001	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.005673019625	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.001265230483	0.0
S62	0.011473518453	0.011473518453	0.011637435500200001	0.012284009044200002	0.012265109509710001	0.012263927862943001	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.011716761407220002	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.005673019625	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.001265230483	0.0
S63	0.011473518453	0.011473518453	0.011637435500200001	0.012265109509710001	0.012283701745860002	0.012263927862943001	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.011716761407220002	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.005673019625	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.001265230483	0.0
S48	0.011473518453	0.011473518453	0.011637435500200001	0.012263927862943001	0.012263927862943001	0.012278472625023	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.01225653302072	0.011716761407220002	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.005673019625	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.001265230483	0.0
S9	0.011473518453	0.011473518453	0.011637435500200001	0.01225653302072	0.01225653302072	0.01225653302072	0.012283742653225	0.012263647693575	0.012263647693575	0.012263647693575	0.012263647693575	0.012263647693575	0.012263647693575	0.012263647693575	0.012263647693575	0.012263647693575	0.012263647693575	0.012263647693575	0.012263647693575	0.012263647693575	0.012263647693575	0.012263647693575	0.012263647693575	0.012263647693575	0.012263647693575	0.012263647693575	0.012263647693575	0.012263647693575	0.012263647693575	0.012263647693575	0.012257780099466	0.011716761407220002	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.005673019625	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.001265230483	0.0
S82	0.011473518453	0.011473518453	0.011637435500200001	0.01225653302072	0.01225653302072	0.01225653302072	0.012263647693575	0.012337955786375001	0.012291683300625002	0.012291683300625002	0.012291683300625002	0.012291683300625002	0.012291683300625002	0.012291683300625002	0.012291683300625002	0.012291683300625002	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012257780099466	0.011716761407220002	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.005673019625	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.001265230483	0.0
S80	0.011473518453	0.011473518453	0.011637435500200001	0.01225653302072	0.01225653302072	0.01225653302072	0.012263647693575	0.012291683300625002	0.012353904159383	0.012301050623283	0.012294995843840001	0.01229399584334	0.01229399584334	0.01229399584334	0.01229399584334	0.01229399584334	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012257780099466	0.011716761407220002	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.005673019625	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.001265230483	0.0
S24	0.011473518453	0.011473518453	0.011637435500200001	0.01225653302072	0.01225653302072	0.01225653302072	0.012263647693575	0.012291683300625002	0.012301050623283	0.012326603912753002	0.012294995843840001	0.01229399584334	0.01229399584334	0.01229399584334	0.01229399584334	0.01229399584334	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012257780099466	0.011716761407220002	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.005673019625	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.001265230483	0.0
S87	0.011473518453	0.011473518453	0.011637435500200001	0.01225653302072	0.01225653302072	0.01225653302072	0.012263647693575	0.012291683300625002	0.012294995843840001	0.012294995843840001	0.012347924560970001	0.01229399584334	0.01229399584334	0.01229399584334	0.01229399584334	0.01229399584334	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012257780099466	0.011716761407220002	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.005673019625	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.001265230483	0.0
S41	0.011473518453	0.011473518453	0.011637435500200001	0.01225653302072	0.01225653302072	0.01225653302072	0.012263647693575	0.012291683300625002	0.01229399584334	0.01229399584334	0.01229399584334	0.012336276787860001	0.012294995843840001	0.012294995843840001	0.012294995843840001	0.012294995843840001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012257780099466	0.011716761407220002	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.005673019625	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.001265230483	0.0
S61	0.011473518453	0.011473518453	0.011637435500200001	0.01225653302072	0.01225653302072	0.01225653302072	0.012263647693575	0.012291683300625002	0.01229399584334	0.01229399584334	0.01229399584334	0.012294995843840001	0.012341766758735	0.012317915572895001	0.012297359604155001	0.012297359604155001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012257780099466	0.011716761407220002	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.005673019625	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.001265230483	0.0
S6	0.011473518453	0.011473518453	0.011637435500200001	0.01225653302072	0.01225653302072	0.01225653302072	0.012263647693575	0.012291683300625002	0.01229399584334	0.01229399584334	0.01229399584334	0.012294995843840001	0.012317915572895001	0.012343022352285002	0.012297359604155001	0.012297359604155001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012257780099466	0.011716761407220002	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.005673019625	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.001265230483	0.0
S90	0.011473518453	0.011473518453	0.011637435500200001	0.01225653302072	0.01225653302072	0.01225653302072	0.012263647693575	0.012291683300625002	0.01229399584334	0.01229399584334	0.01229399584334	0.012294995843840001	0.012297359604155001	0.012297359604155001	0.012348754260925	0.012313724941375	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012257780099466	0.011716761407220002	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.005673019625	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.001265230483	0.0
S91	0.011473518453	0.011473518453	0.011637435500200001	0.01225653302072	0.01225653302072	0.01225653302072	0.012263647693575	0.012291683300625002	0.01229399584334	0.01229399584334	0.01229399584334	0.012294995843840001	0.012297359604155001	0.012297359604155001	0.012313724941375	0.012364443378625	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012257780099466	0.011716761407220002	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.005673019625	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.001265230483	0.0
S73	0.011473518453	0.011473518453	0.011637435500200001	0.01225653302072	0.01225653302072	0.01225653302072	0.012263647693575	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012345077463841002	0.012289308537381001	0.012282348905738	0.012282348905738	0.012282348905738	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012257780099466	0.011716761407220002	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.005673019625	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.001265230483	0.0
S67	0.011473518453	0.011473518453	0.011637435500200001	0.01225653302072	0.01225653302072	0.01225653302072	0.012263647693575	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012289308537381001	0.012317450355541002	0.012282348905738	0.012282348905738	0.012282348905738	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012257780099466	0.011716761407220002	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.005673019625	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.001265230483	0.0
S59	0.011473518453	0.011473518453	0.011637435500200001	0.01225653302072	0.01225653302072	0.01225653302072	0.012263647693575	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012282348905738	0.012282348905738	0.012321590036971001	0.012292272311161001	0.012283926219225002	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012257780099466	0.011716761407220002	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.005673019625	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.001265230483	0.0
S38	0.011473518453	0.011473518453	0.011637435500200001	0.01225653302072	0.01225653302072	0.01225653302072	0.012263647693575	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012282348905738	0.012282348905738	0.012292272311161001	0.012310070151681	0.012283926219225002	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012257780099466	0.011716761407220002	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.005673019625	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.001265230483	0.0
S66	0.011473518453	0.011473518453	0.011637435500200001	0.01225653302072	0.01225653302072	0.01225653302072	0.012263647693575	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012272425491935001	0.012282348905738	0.012282348905738	0.012283926219225002	0.012283926219225002	0.012315419204395	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012257780099466	0.011716761407220002	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.005673019625	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.001265230483	0.0
S58	0.011473518453	0.011473518453	0.011637435500200001	0.01225653302072	0.01225653302072	0.01225653302072	0.012263647693575	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012268973814179001	0.012340189425282	0.012282490896162	0.012278810256269002	0.012278810256269002	0.012278810256269002	0.012278810256269002	0.012278810256269002	0.012278810256269002	0.012278810256269002	0.012257780099466	0.011716761407220002	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.011512516703	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.007443214489	0.005673019625	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.004249017751	0.001265230483	0.0
